"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"103","Taysom Hill",NO,"TE9","3 out of 5 stars","2 out of 5 stars","+142"
"104","George Pickens",PIT,"WR41","3 out of 5 stars","3 out of 5 stars","+8"
"105","Jared Goff",DET,"QB13","3 out of 5 stars","2 out of 5 stars","+90"
"106","Khalil Herbert",CHI,"RB43","3 out of 5 stars","4 out of 5 stars","+32"
"107","Chuba Hubbard",CAR,"RB44","3 out of 5 stars","3 out of 5 stars","+98"
"108","Darius Slayton",NYG,"WR42","4 out of 5 stars","4 out of 5 stars","-"
"109","Dawson Knox",BUF,"TE10","2 out of 5 stars","3 out of 5 stars","-15"
"110","Jeff Wilson Jr.",MIA,"RB45","3 out of 5 stars","3 out of 5 stars","+69"
"111","Joshua Palmer",LAC,"WR43","4 out of 5 stars","4 out of 5 stars","+74"
"112","Jaylen Warren",PIT,"RB46","3 out of 5 stars","4 out of 5 stars","+177"
"113","Kareem Hunt",CLE,"RB47","2 out of 5 stars","2 out of 5 stars","-28"
"114","Mack Hollins",LV,"WR44","3 out of 5 stars","3 out of 5 stars","-"
"115","Deebo Samuel",SF,"WR45","3 out of 5 stars","3 out of 5 stars","-93"
"116","Alexander Mattison",MIN,"RB48","4 out of 5 stars","4 out of 5 stars","+1"
"117","Jakobi Meyers",NE,"WR46","2 out of 5 stars","2 out of 5 stars","+47"
"118","Tom Brady",TB,"QB14","3 out of 5 stars","3 out of 5 stars","-43"
"119","Michael Carter",NYJ,"RB49","5 out of 5 stars","5 out of 5 stars","-6"
"120","Michael Gallup",DAL,"WR47","3 out of 5 stars","3 out of 5 stars","+4"
"121","Tyler Boyd",CIN,"WR48","3 out of 5 stars","3 out of 5 stars","+12"
"122","Deshaun Watson",CLE,"QB15","4 out of 5 stars","4 out of 5 stars","+82"
"123","Joshua Kelley",LAC,"RB50","3 out of 5 stars","2 out of 5 stars","+154"
"124","Marlon Mack",DEN,"RB51","3 out of 5 stars","3 out of 5 stars","+115"
"125","Derek Carr",LV,"QB16","2 out of 5 stars","3 out of 5 stars","-18"
"126","Jordan Mason",SF,"RB52","2 out of 5 stars","3 out of 5 stars","+170"
"127","Courtland Sutton",DEN,"WR49","4 out of 5 stars","4 out of 5 stars","-85"
"128","Daniel Jones",NYG,"QB17","3 out of 5 stars","4 out of 5 stars","+74"
"129","Jahan Dotson",WAS,"WR50","3 out of 5 stars","2 out of 5 stars","+25"
"130","Damien Harris",NE,"RB53","2 out of 5 stars","3 out of 5 stars","-50"
"131","Pat Freiermuth",PIT,"TE11","5 out of 5 stars","5 out of 5 stars","-22"
"132","Darren Waller",LV,"TE12","3 out of 5 stars","3 out of 5 stars","-83"
"133","Gerald Everett",LAC,"TE13","3 out of 5 stars","3 out of 5 stars","+51"
"134","Aaron Rodgers",GB,"QB18","3 out of 5 stars","3 out of 5 stars","-45"
"135","Parris Campbell",IND,"WR51","2 out of 5 stars","2 out of 5 stars","+82"
"136","Russell Gage",TB,"WR52","4 out of 5 stars","4 out of 5 stars","+25"
"137","Kenneth Gainwell",PHI,"RB54","2 out of 5 stars","2 out of 5 stars","-12"
"138","Cole Kmet",CHI,"TE14","3 out of 5 stars","3 out of 5 stars","-24"
"139","Chris Moore",HOU,"WR53","4 out of 5 stars","4 out of 5 stars","-"
"140","Nico Collins",HOU,"WR54","4 out of 5 stars","4 out of 5 stars","+42"
"141","Brock Purdy",SF,"QB19","5 out of 5 stars","5 out of 5 stars","-"
"142","Greg Dulcich",DEN,"TE15","3 out of 5 stars","4 out of 5 stars","-"
"143","Chigoziem Okonkwo",TEN,"TE16","2 out of 5 stars","2 out of 5 stars","-"
